,company,title,href
0,Zalando,Marketing Analyst (Media Analytics) (all genders),https://de.linkedin.com/jobs/view/marketing-analyst-media-analytics-all-genders-at-zalando-3758062433?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=LkzWfjIU%2Bv1Nlj0bTF4vIA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Scout24 Group,Business Data Analyst - Sales & Customer Temporary Position (d/f/m),https://de.linkedin.com/jobs/view/business-data-analyst-sales-customer-temporary-position-d-f-m-at-scout24-gruppe-3758957872?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=AnHP6ejHpgi7ODeDqK0AtA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,ImmoScout24,Business Data Analyst - Sales & Customer Temporary Position (d/f/m),https://de.linkedin.com/jobs/view/business-data-analyst-sales-customer-temporary-position-d-f-m-at-immoscout24-3747492043?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=SqI7K%2FUZs25KDgrF%2Ftx0Og%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,GetYourGuide,Senior Data Analyst / Applied Scientist (Brand Marketing/MMM),https://de.linkedin.com/jobs/view/senior-data-analyst-applied-scientist-brand-marketing-mmm-at-getyourguide-3765496945?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=6rKeKGwc%2BTZcwy7sDJBr1A%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,hello.de,Werkstudent/ Praktikant - Business Intelligence | Reporting | Business Analysis,https://de.linkedin.com/jobs/view/werkstudent-praktikant-business-intelligence-reporting-business-analysis-at-hello-de-3751658783?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=fYB7TECL1j%2FiyRAbpEEv0Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax),https://de.linkedin.com/jobs/view/senior-data-analyst-get-a-30%25-salary-increase-pay-0%25-tax-at-puffy-3759029443?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=yInuul5rmj6JFU5MKFgz%2BA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,ImmoScout24,Business Data Analyst - Sales & Customer Temporary Position (d/f/m),https://de.linkedin.com/jobs/view/business-data-analyst-sales-customer-temporary-position-d-f-m-at-immoscout24-3767072288?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=cMlTTgxAQXP50p48ZSKhkw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Zalando,(SENIOR) CUSTOMER DATA ANALYST (CUSTOMER SEGMENTATION) - MARKETS (all genders),https://de.linkedin.com/jobs/view/senior-customer-data-analyst-customer-segmentation-markets-all-genders-at-zalando-3734107245?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=ejXrhwx81O0xB8uByg7Q9A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Zalando,Senior Marketing Analyst (ROI Analytics) (all genders),https://de.linkedin.com/jobs/view/senior-marketing-analyst-roi-analytics-all-genders-at-zalando-3775547546?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=jHBvKKnmp2guQ6vzqfUjsQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Capgemini,Business Analyst Data & AI Life Sciences (w/m/d),https://de.linkedin.com/jobs/view/business-analyst-data-ai-life-sciences-w-m-d-at-capgemini-3760808449?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=c69r9gfyky8xxSH8Gn6xoQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,TLGG Agency,Social Media Analyst (w/m/d),https://de.linkedin.com/jobs/view/social-media-analyst-w-m-d-at-tlgg-agency-3777299182?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=zV6hRdn3KjuV%2Btn4IaCR3w%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Aeyde,Marketing Analyst (m/f/d),https://de.linkedin.com/jobs/view/marketing-analyst-m-f-d-at-aeyde-3778548498?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=BJzD8wz9%2B2TqFI5EqWXEtg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,HCLTech,Business Analyst,https://de.linkedin.com/jobs/view/business-analyst-at-hcltech-3780190794?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=usm83s3tt7IJF8tX1Ox%2BmQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Universal Music Deutschland,Senior Audience Data Analyst - D2C (all genders) - Marketing Labs – Universal Music GmbH,https://de.linkedin.com/jobs/view/senior-audience-data-analyst-d2c-all-genders-marketing-labs-%E2%80%93-universal-music-gmbh-at-universal-music-deutschland-3733803459?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=3QR%2Ffj9bqtpdhp0WDslAyw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Deutsche Rentenversicherung Bund,Businessanalyst*in (m/w/div),https://de.linkedin.com/jobs/view/businessanalyst-in-m-w-div-at-deutsche-rentenversicherung-bund-3706794548?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=8vjpMsLY6GUVTrhaJQGtcg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,AMBOSS,Business Analyst,https://de.linkedin.com/jobs/view/business-analyst-at-amboss-3744757536?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=NFZsrL99wjLdg1QH9eWPtA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,Salt,Senior Market Researcher,https://de.linkedin.com/jobs/view/senior-market-researcher-at-salt-3769230050?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=7deQrOW1OsyNncAkgRzz%2Fg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,Planet,Business Analyst,https://de.linkedin.com/jobs/view/business-analyst-at-planet-3757343949?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=4EWFpgqrxBYFRs38fbtZAg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,GotPhoto.com | fotograf.de,Marketing Analyst (f/m/d),https://de.linkedin.com/jobs/view/marketing-analyst-f-m-d-at-gotphoto-com-fotograf-de-3731197233?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=4QPL5ILUZmE6FkXW6F9kfw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
19,H2 MOBILITY,Werkstudierende im Bereich Digital Business Analyst (gn),https://de.linkedin.com/jobs/view/werkstudierende-im-bereich-digital-business-analyst-gn-at-h2-mobility-3771543599?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=g51E%2BfWkekI5W4lV%2B8qjyg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
20,Scout24 Group,Business Analyst in Sales Analytics (d/w/m),https://de.linkedin.com/jobs/view/business-analyst-in-sales-analytics-d-w-m-at-scout24-gruppe-3763573560?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=OimpMiLXBHRFpJK3mWOm8w%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
21,SAP,Senior Business & Data Analyst - (f/m/d) SAP Signavio - Platform Group,https://de.linkedin.com/jobs/view/senior-business-data-analyst-f-m-d-sap-signavio-platform-group-at-sap-3758205028?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=G1R3ZPxejvDwRrYYIkUqTw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
22,SAP,Senior Business & Data Analyst - (f/m/d) SAP Signavio - Platform Group,https://de.linkedin.com/jobs/view/senior-business-data-analyst-f-m-d-sap-signavio-platform-group-at-sap-3757899340?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=TXEqIvV6iFL8rZqlqHWBrQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
23,Scout24 Group,(Senior) Marketing Analyst (d/f/m),https://de.linkedin.com/jobs/view/senior-marketing-analyst-d-f-m-at-scout24-gruppe-3763571970?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=8ezLc5FR%2FQWrHGR2pjJ%2B9w%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
24,flaconi,Senior Marketing Analyst (all genders),https://de.linkedin.com/jobs/view/senior-marketing-analyst-all-genders-at-flaconi-3621220046?refId=wvr2EWC0WZZ0glTdH5LC0w%3D%3D&trackingId=E1sLMZWBm5CpGBAEhsv6Mw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
25,TUI,Referent Web Analyst (m/w/d) mit Fokus Marketing & Attribution,https://de.linkedin.com/jobs/view/referent-web-analyst-m-w-d-mit-fokus-marketing-attribution-at-tui-3746717080?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=LGNb%2FM0FUoWltY7e0TkXlg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
26,Raisin,Senior Manager Marketing Analytics (m/f/d),https://de.linkedin.com/jobs/view/senior-manager-marketing-analytics-m-f-d-at-raisin-3773344795?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=6oY9aDDsianLyt9eSk6h5A%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
27,Engel & Völkers Commercial Berlin,Market Analyst / Research Analyst (m/w/d),https://de.linkedin.com/jobs/view/market-analyst-research-analyst-m-w-d-at-engel-v%C3%B6lkers-commercial-berlin-3765626226?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=SE9E1IJHCNffkmXU3241AQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
28,ImmoScout24,(Senior) Marketing Analyst (d/f/m),https://de.linkedin.com/jobs/view/senior-marketing-analyst-d-f-m-at-immoscout24-3750809855?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=PCxzl8xx1pe8NElghMOnsA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
29,Stealth iT Recruitment,Business Analyst,https://de.linkedin.com/jobs/view/business-analyst-at-stealth-it-recruitment-3772463982?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=6R1kE72ZzUrhLCj3TYRGbA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
30,ImmoScout24,Business Analyst in Sales Analytics (d/w/m),https://de.linkedin.com/jobs/view/business-analyst-in-sales-analytics-d-w-m-at-immoscout24-3767069639?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=gGiaNgTxPcQu%2BM9qmIyiBw%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
31,ImmoScout24,(Senior) Marketing Analyst (d/f/m),https://de.linkedin.com/jobs/view/senior-marketing-analyst-d-f-m-at-immoscout24-3767071344?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=mXZLg%2BjQ8Dz7xLgdNh9PyQ%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
32,Revolut,Business Analyst (Treasury),https://de.linkedin.com/jobs/view/business-analyst-treasury-at-revolut-3769079963?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=SLZQqLJGEEnH35jrJTXF6g%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
33,Moyyn,Business Analyst (m/w/d)-43_CL_27_2,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-43-cl-27-2-at-moyyn-3587529775?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=t0WXRnrPlSWC3BkvQ5zKXA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
34,CATHAGO,Business Analyst (w/m/d),https://de.linkedin.com/jobs/view/business-analyst-w-m-d-at-cathago-3759764223?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=v9kJMb4Ypew3EShGCdQ1Ig%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
35,Zalando,Senior Media Business Analyst - Brand Marketing (all genders),https://de.linkedin.com/jobs/view/senior-media-business-analyst-brand-marketing-all-genders-at-zalando-3734107172?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=yZxO8M2WGlRVS3Nosw59iQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
36,numa,Business Analyst (Expansion) (m/f/d),https://de.linkedin.com/jobs/view/business-analyst-expansion-m-f-d-at-numa-3774941533?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=8ECjh28yCcq5fg7OpLMUVg%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
37,Aspire Software,Business Analyst,https://de.linkedin.com/jobs/view/business-analyst-at-aspire-software-3731435948?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=6avCfXmgChyvg59%2FTXHbMA%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
38,CBTW,Business Analyst (M/W/D),https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-cbtw-3779277336?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=xj%2BvTgmPCehMSPz3SOftqA%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
39,DEVK Versicherungen,Duales Studium BWL/Versicherung B.A.,https://de.linkedin.com/jobs/view/duales-studium-bwl-versicherung-b-a-at-devk-versicherungen-3708928337?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=zvSoBKcqvYbw7CVbH8dyvA%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
40,H2 MOBILITY,Werkstudierende im Bereich Digital Business Analyst (gn),https://de.linkedin.com/jobs/view/werkstudierende-im-bereich-digital-business-analyst-gn-at-h2-mobility-3776867213?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=Ube41kqYtOU7Ii7I%2FcrL0Q%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
41,]init[ - Services for the eSociety,Business Analyst (m/w/d),https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-init-ag-f%C3%BCr-digitale-kommunikation-3773531750?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=L5hUEi%2BwgG5uXNXxAqD2Qg%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
42,Lufthansa Industry Solutions,Business Analyst (all genders) Digitalisierung,https://de.linkedin.com/jobs/view/business-analyst-all-genders-digitalisierung-at-lufthansa-industry-solutions-3574420173?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=kRwQXfy%2BztNUYTcTbHjL1w%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
43,AERTiCKET Gruppe,Business Analyst (m/f/x),https://de.linkedin.com/jobs/view/business-analyst-m-f-x-at-aerticket-gruppe-3769065790?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=xHAAz%2FAMAC7BSWZ7HDVjWA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
44,Empiric,Avaloq Business Analyst,https://de.linkedin.com/jobs/view/avaloq-business-analyst-at-empiric-3780462512?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=S1osUujrSSQGPXMxkDpCWw%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
45,Deutsche Bahn,Business Analyst:in / Data Migration Manager:in SAP S/4HANA,https://de.linkedin.com/jobs/view/business-analyst-in-data-migration-manager-in-sap-s-4hana-at-deutsche-bahn-3763982475?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=RpxcGnyGBoXoNyhoQedmMQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
46,CBTW,Business Analyst (M/W/D),https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-cbtw-3776197620?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=EgpiM55FWef1rIJmYu1mBA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
47,IBM,Business Analysts P&C (f/m/x),https://de.linkedin.com/jobs/view/business-analysts-p-c-f-m-x-at-ibm-3697723136?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=cCpe7iPchLW6xBDRkDUSdQ%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
48,Verivox GmbH,Business Analyst Value Added Services (m/w/d),https://de.linkedin.com/jobs/view/business-analyst-value-added-services-m-w-d-at-verivox-gmbh-3773669435?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=1bUt7IK53HAPq49HWQLBeQ%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
49,Drechsel & Hansen Unternehmensnachfolge GmbH,Business Analyst Praktikant (PE),https://de.linkedin.com/jobs/view/business-analyst-praktikant-pe-at-drechsel-hansen-unternehmensnachfolge-gmbh-3779980848?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=MBwV%2FSuxnxZmL9tVI9V%2BmA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
50,]init[ - Services for the eSociety,Business Analyst (m/w/d),https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-init-ag-f%C3%BCr-digitale-kommunikation-3773535328?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=Fv5%2B22MRD%2B3TJRvYE9wq1w%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
51,Yara International,Digital Business Analyst - Industrial Traceability,https://de.linkedin.com/jobs/view/digital-business-analyst-industrial-traceability-at-yara-international-3779056389?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=LlF%2B5GsxZ5x%2FcbDuMcxCug%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
